Year,UK Index Adjusted 1209,USA index Adjusted 1700,Farm Laborers,Coal Miners,Building Laborers,Building Craftsmen,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Straw,Mustard Seed,Saffron,Hay,Cheese,Butter,Milk,Beef,Mutton,Pork,Bacon,Tallow,Wool,Eggs Quid,Firewood,Timber,Cider,Honey
Type,1209 = 1,1700 = 1,Pound/day,Pound/day,Pound/day,Pound/day,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Litre,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Dozen,Quid/Bundle 3 feet long by 2 feet circumference,Quid/Cubic Foot,Quid/Litre,Quid/Litre
1271,1.944165751,,0.005241468,0,0.00614784,0.012910883,0.001561606,0,0.001033416,0.000713259,0.001139054,0,0,0,0,0,1.22246179,0.000111333,0.005144113,0.007532452,0,0,0,0,0,0.023515947,0.047307471,0.001708333,0.002941667,0,0.000659908,0.000916539
1272,2.042575758,,0.005107656,0,0.004338025,0.007989059,0.001561606,0,0.001400852,0.000940206,0.001524862,0,0,0,0,0,1.22246179,0.000111333,0.004776677,0.007532452,0,0,0,0,0,0.02755775,0.046021443,0.001958333,0.002941667,0,0.00059575,0.000916539
1273,1.694964399,,0.005413955,0,0.004338025,0.010598197,0.001120682,0,0.00105638,0.000842943,0.001230913,0,0,0,0,0,1.22246179,0.000111333,0.004684818,0.007532452,0,0,0,0,0,0.022872933,0.045562147,0.001416667,0.002941667,0,0.000522427,0.000916539
1274,1.925270371,,0.005474687,0,0.006668445,0.011261909,0.001414631,0,0.001171204,0.000940206,0.001377888,0,0,0,0,0,1.22246179,0.000111333,0.006338283,0.009645213,0,0,0,0,0,0.02755775,0.047307471,0.00175,0.002941667,0,0.000458269,0.000916539
1275,1.882990847,,0.00545728,0,0.005165828,0.011413555,0.001469747,0,0.001240099,0.000940206,0.001175797,0,0,0,0,0,1.22246179,0.000111333,0.005052254,0.010104508,0,0,0,0,0,0.023240369,0.053278317,0.001625,0.002966667,0,0.000504096,0.001833077
1276,1.679344712,,0.005652675,0,0.005767386,0.011025101,0.001157426,0,0.000918592,0.000875364,0.000808361,0,0,0,0,0,0.81240247,0.000111333,0.005235973,0.010012649,0,0,0,0,0,0.034539047,0.062372374,0.00175,0.002966667,0,0.000504096,0.001833077
1277,1.902088606,,0.005241012,0,0.007845634,0.010583464,0.001488119,0,0.001240099,0.001037468,0.001451375,0,0,0,0,0,0.81240247,0.000111333,0.005144113,0.010012649,0,0,0,0,0,0.0220462,0.059708458,0.001708333,0.0032,0,0.000504096,0.001833077
1278,1.645753647,,0.005145368,0,0.006599104,0.012229562,0.001047195,0,0.000987486,0.000842943,0.00110231,0,0,0,0,0,0.81240247,0.000111333,0.005052254,0.007808029,0,0,0,0,0,0.022964792,0.074222207,0.001708333,0.002516667,0,0.000559089,0.001145673
1279,1.51990707,,0.005495973,0,0.005635466,0.012019835,0.000955335,0,0.000849697,0.000778101,0.000771617,0,0,0,0,0,0.661386,0.000111333,0.005695268,0.007440593,0,0,0,0,0,0.022964792,0.072844319,0.00175,0.003029167,0,0.000650742,0.001145673
1280,1.720469019,,0.00589616,0,0.006119684,0.014281232,0.001157426,0,0.000918592,0.000713259,0.00090022,0,0,0,0,0,0.661386,0.000111333,0.004868536,0.008634762,0,0,0,0,0,0.02755775,0.060167754,0.0015,0.004333333,0,0.000559089,0.001833077
